,group_name,post,date
0,blacklist_nsk_official,"Хотели бы предостеречь и показать человека, которого зовут Новиков Денис Владимирович 20.08.1987г. , который является мошенником. В феврале набрал 10 пылесосов (возможно больше , о которых мы не знаем ) которые сдаются в аренду и не возвращает. На нем около 5 млн. долг у судебных приставов.",1708703435
1,blacklist_nsk_official,"В преддверии Дня защитника Отечества Дмитрий Азаров встретился с бойцами второй гвардейской армии, которые участвовали в освобождении Авдеевки 
 
Губернатор поздравил с наступающим праздником военнослужащих и поблагодарил за мужество при исполнении долга. «Каждый из вас внёс свой вклад в эту Победу, которая уверен войдёт в учебники истории», – отметил Дмитрий Азаров. Во встрече также приняли участие Гвардии генерал-лейтенант Андрей Колотовкин и его жена Екатерина, которая является доверенным лицом кандидата в Президенты Владимира Путина. Несколько дней назад Андрей Колотовкин вернулся с передовой и от всех бойцов передал слова благодарности Губернатору и жителям региона за постоянную помощь армии. «Самарская область очень хорошо нас поддерживает, ребята обеспечены всем необходимым», – подчеркнул генерал-лейтенант. 
 
Общаясь с бойцами, Дмитрий Азаров уточнил, какая ещё помощь им требуется. Как и прежде, все просьбы Губернатор взял на личный контроль. К примеру, один из участников СВО, отец четверых детей, рассказал, что его сын хочет поступить в Самарский казачий кадетский корпус. Бойцу обязательно помогут с этим вопросом. Помимо личных обращений, военнослужащие попросили дополнительно передать коптеры в зону СВО. Регион на постоянной основе помогает армии дронами, продолжит это делать и дальше. Также в ближайшее время пройдет совещание с организациями, которые работают в сфере беспилотной авиации – чтобы объединить усилия в этой работе для достижения общей Победы!",1708619740
2,blacklist_nsk_official,"❗ТОЛЬКО 13 МАРТА ❗ 🎪 ЦИРКОВОЕ ШОУ «ЗВЁЗДНЫЙ КАЛЕЙДОСКОП» ПРИЕЗЖАЕТ В г.НОВОКУЙБЫШЕВСК🎪 ☀НЕ ПРОПУСТИ ☀
⏰ НАЧАЛО ПРЕДСТАВЛЕНИЯ: 10:00 ; 12:00 ; 14:00 ; 18:00
📍Место проведения:МБУК ТКК ""Дворец культуры"" , пл. им. В.И.Ленина, д1
💵 Стоимость уточняйте по телефону справочной
✅Справки : +7 981-17-77-117
👼🏻Дети до 4-х лет бесплатно в сопровождении родителей без предоставления места
🍿🥤🍿🥤🍿🥤🍿🥤🍿🥤🍿🥤🍿
😃❗ ПРОВОДИТСЯ РОЗЫГРЫШ 5 БИЛЕТОВ ❗😃
❤НУЖНО ВЫПОЛНИТЬ СЛЕДУЮЩИЕ УСЛОВИЯ :

1)Сделать репост записи на стену ВК и вступить в нашу группу https://vk.com/supercirk_ru и не удалять ЗАПИСЬ до дня представления ВКЛЮЧИТЕЛЬНО

2)Написать в комментариях ОДНО число по порядку. ( если один человек укажет несколько номерков-они не засчитываются)

Комментарий нужно оставить здесь 👉
https://vk.com/supercirk_ru?w=wall-140494355_4486
🙏ВАЖНО! СОБЛЮДАТЬ ВСЕ УСЛОВИЯ РОЗЫГРЫША (быть подписанным на нашу группу и сделать репост на свою страницу ВК. У тех у кого страница закрыта просим приложить скриншот или добавить меня в друзья на время розыгрыша)

❗12 марта МЫ ОБЪЯВИМ ПЯТЬ НАШИХ ПОБЕДИТЕЛЕЙ🎫
Победители будут определены с помощью приложения ""Рандомайзер"")
🎪 🤡В программе принимают участие артисты высочайшего уровня, в самых разнообразных жанрах 🤡 🎪
⭐Вы увидите супер экстрим-шоу ""Колесо страха""
⭐Жонглёры ловко выполняют сложные элементы 🤹‍♀
⭐Эквилибр на катушках!!!
⭐Мексиканская обезьяна покажет виртуозное вождение на настоящем квадроцикле! 💃
⭐Вы увидите интригующие фокусы, а так же загадочный номер «монетный дождь»
⭐Лазерное шоу
⭐Смешной клоун Шурик
⭐ОГРОМНЫЙ Тигровый питон ,длина которого более 3х метров 🐍 Носим его по рядам и самые смелые из Вас могут его даже погладить.
ПРОДОЛЖИТЕЛЬНОСТЬ- 1ч10 мин
🎁 Флаера👇 будут распространятся в дошкольных и школьных учреждениях. Будет проводится розыгрыш призов по флаерам.На обратной стороне пишем свою фамилию и имя .Каждый из Вас будет иметь шанс выиграть цирковые сувениры и Фото с животным!!
Призы: Попугай в клетке, очки виртуальной реальности
СУПЕРПРИЗ🎁 Игровая консоль-приставка 📟",1709547306
3,blacklist_nsk_official,"Собственник отзовись, и собери свой мусор! Зачем так делать??? По всей улице ваши отходы.",1709289734
4,blacklist_nsk_official,"Парк Патриот!!! Нет освещения по второй лестнице и верхней прогулочной дороге в Солдатском лесу, парк Патриот, 2 года был свет, а в этом году ходим с фонариком! Скользкая 1 лестница.не спуститься не подняться.",1708677897
5,blacklist_nsk_official,"Вчера прошёл Матч друзей, который организует Единая лига ВТБ🏀 
 
На видео говорят о Самаре и, конечно, про баскетбол: Дмитрий Азаров, президент Единой лиги ВТБ Сергей Кущенко и президент Российской федерации баскетбола Андрей Кириленко. 
 
К слову, у нас в регионе все команды играют в высших лигах страны! Среди них «Крылья Советов», баскетбольный клуб «Самара», хоккейная «Лада», волейбольная «Нова», а также гандбольная «Лада». На матчи каких команд уже ходили?",1708270490
6,blacklist_nsk_official,"Памятники по выгодной цене только в Кинель Гранит. Поспешите воспользоваться сезонными скидками. Комплект памятника из черного гранита 28.000 рублей.Комплект памятника из серого гранита 15.000 рублей. Благоустройство плиткой 16.000, ограда металлическая 5.900!
Обращайтесь к нам сейчас - без очередей и с возможностью выбрать нужный момент установки. Наш сайт Кинель-Гранит.рф
Акция действительна до 31 марта 2024 года
Тел. 89272627575 
Наши адреса: 
г. Самара ул. Победы 78
г. Самара ул. Красноармейская 117
г. Кинель ул. Пушкина 106(север)
г. Кинель ул. Переулок колхозный 15
г. Нефтегорск Городская ярмарка 
с. Красный яр ул. Кооперативная 104
с. Суходол ул. Пионерская 3
Наша группа ВКонтакте: 
https://vk.com/kinel_granit",1708441488
7,blacklist_nsk_official,"Председатель Совета Федерации Валентина Матвиенко отметила успешную работу Самарской области по развитию инфраструктуры для отдыха детей 
 
Сегодня Дмитрий Азаров и в режиме видеосвязи Валентина Матвиенко открыли детский лагерь «Солнечный берег» в Безенчукском районе. Работы в учреждении провели комплексно – за счёт федеральной программы возвели новые корпуса. На средства регионального бюджета капитально отремонтировали столовую. В лагере дети теперь могут отдыхать круглый год. Также создали условия для ребят с ограниченными возможностями здоровья. Губернатор поставил задачу коллегам благоустроить к лету прилегающую территорию. 
 
Это не первое учреждение, которое сделали по федеральной программе. В прошлом году построили новый корпус в военно-патриотическом центре «Авангард». В дополнение к федеральной по поручению Дмитрия Азарова создали региональную программу. Приняли её одними из первых в стране! Помимо этого сделали капитальный ремонт молодёжного центра «Лесная сказка» в Кинельском районе. Каждый год на смены сюда приезжают ребята из нашей области и других регионов. Приводить детские лагеря в порядок продолжат и дальше. К примеру, сейчас ведётся работа по возвращению частного лагеря в государственную собственность, чтобы в дальнейшем его обустроить.",1708443402
8,blacklist_nsk_official,"Акция марта - «Благоустрой выгодно с Кинель Гранит»
Комплект памятника из черного гранита Карелия за 39.000 рублей под ключ с установкой и гравировкой портрета. 
Подробности на сайте: Кинель-гранит.рф 
Группа ВК: https://vk.com/kinel_granit
тел. 89272627575",1709668503
9,blacklist_nsk_official,,1708703453
